title,category,location,price_numeric,is_bungalow,is_villa,is_apartment,is_duplex,is_house,is_land,has_parking,has_garden,has_bhk,is_furnished,is_modern,is_luxury,is_commercial,is_urgent
 House for Sale,House,"Thaiba, Lalitpur",29000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Tikathali, Lalitpur",25500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3 BHK House for Sale,House,"Imadol, Lalitpur",32500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4 BHK House for Sale,House,"Imadol, Lalitpur",24500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale ,House,"Lasuntar, Kathmandu",25000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Rent,House,"Dhapakhel, Lalitpur",38800000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 House for Sale,House,"Khumaltar, Lalitpur",45000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Imadol, Lalitpur",24000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4 BHK House for Sale,House,"Imadol, Lalitpur",23000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4 BHK House for Sale,House,"Imadol, Lalitpur",26500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Tikathali, Lalitpur",32000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3 BHK House for Sale,House,"Imadol, Lalitpur",29000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",34000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Nakkhu, Lalitpur",27500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Sanagaun, Lalitpur",16000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Duplex House for Sale,House,"Samakhushi chowk, Kathmandu",35500000.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Lubhu, Lalitpur",59000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Rent,House,"Bhaisepati, Lalitpur",28500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 House for Sale,House,"Taukhel, Lalitpur",27500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sundarbasti, Kathmandu",39000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Narayanthan , Kathmandu",42500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Katunje, Bhaktapur",34000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Dhapasi, Kathmandu",47500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sundarbasti, Kathmandu",34500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Nayapati, Kathmandu",29000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Rent,House,"Satdobato, Lalitpur",15000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 House for Sale,House,"Nakhipot, Lalitpur",42500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Khumaltar, Lalitpur",42000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Rent,House,"Basundhara, Kathmandu",27500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 House for Sale,House,"Jyotinagar, Kathmandu",29500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Kuleshwor, Kathmandu",45000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Rent,House,"Bansbari, Kathmandu",21000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 House for Sale,House,"Khumaltar, Lalitpur",39000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Rent,House,"Bhaisepati, Lalitpur",27500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4 BHK House for Sale,House,"Dhapasi, Kathmandu",46000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Bhangal , Kathmandu",24000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Mahadevtar, Kathmandu",60000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",38500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Pasikot, Kathmandu",28000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Rent,House,"Bhaisepati, Lalitpur",30000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 House for Sale,House,"Imadol, Lalitpur",23000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Satdobato, Lalitpur",26000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",25500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 Commercial house for Sale,House,"Banasthali, Kathmandu",50000000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
 House for Sale,House,"Hattigaunda, Kathmandu",33000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Phutung, Kathmandu",16000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Gurjudhara, Kathmandu",32500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Pasikot, Kathmandu",39000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Balkumari, Lalitpur",55000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Bhaisepati, Lalitpur",42500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Sitapaila, Kathmandu",35000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Balkhu, Kathmandu",37000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 Commercial house on sale,House,"Chandol, Kathmandu",72500000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
 House for Sale,House,"Tikathali, Lalitpur",28500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",36500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 Duplex House for Sale,House,"Grande Hospital, Kathmandu",33000000.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Hattigaunda, Kathmandu",62500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Hattigaunda, Kathmandu",75000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3 BHK House for Sale,House,"Imadol, Lalitpur",35000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Gwarko, Lalitpur",23500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Gwarko, Lalitpur",29500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",46500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",31500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale in land price,House,"Uttardhoka, Kathmandu",15000000.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
House for Sale,House,"Budhanilkantha, Kathmandu",22500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",19000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Satdobato, Lalitpur",31000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4 BHK House for Sale,House,"Bhaisepati, Lalitpur",43500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Gwarko, Lalitpur",22000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sitapaila, Kathmandu",55000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Gongabu, Kathmandu",60000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",28000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Ochu Height, Lalitpur",27500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Gwarko, Lalitpur",29500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Lubhu, Lalitpur",19500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Lalitpur, Lalitpur",27000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhaisepati, Lalitpur",45000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Dhapasi, Kathmandu",22500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Bungalow House for Sale,House,"Golfutar, Kathmandu",26000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
House for Sale,House,"Dadhikot, Bhaktapur",33000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3 BHK House for Sale,House,"Harisiddhi, Lalitpur",27000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",22500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Mulpani, Kathmandu",16000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bafal, Kathmandu",47000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sanepa, Lalitpur",90000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Khumaltar, Lalitpur",65000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sitapaila, Kathmandu",23000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Lainchaur, Kathmandu",35000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Greenhill City, Kathmandu",27000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Villa House for Sale,House,"Sunakothi, Lalitpur",85000000.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Villa House for Sale,House,"Hattiban, Lalitpur",70000000.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Hattiban, Lalitpur",35000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 Commercial House for Sale,House,"Kamalpokhari, Kathmandu",180000000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
 Flat system house for Sale,House,"Lolang, Kathmandu",18000000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Dhapakhel, Lalitpur",25000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Shantinagar, Kathmandu",45000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Dakshindhoka, Kathmandu",26000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",34500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",37500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Mhaipi, Kathmandu",42500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
