title,location,district_clean,category,price_numeric,land_area_sqft,bedrooms,bathrooms,price_per_sqft,bed_bath_ratio,is_bungalow,is_villa,mentions_bhk,source,tokens,tokens_text,num_tokens
Land for Sale - Rs 2 Crore 50 Lakh,"Nakkhiport  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,25000000.0,1369.0,5.0,4.0,18261.504747991235,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '50', 'lakh']",land sale r crore 50 lakh,6
Land for Sale - Rs 31 Lakh Per Aana,"Duwakot  Madhyapur Thimi, Bhaktapur",Bhaktapur,Land,15500000.0,1711.25,5.0,4.0,9057.706355003653,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '31', 'lakh', 'per', 'aana']",land sale r 31 lakh per aana,7
Land for Sale - Rs 4 Crore 20 Lakh,"Budhanilkanth  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,42000000.0,1711.25,5.0,4.0,24543.462381300214,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '20', 'lakh']",land sale r crore 20 lakh,6
Land for Sale - Rs 2 Crore 75 Lakh,"badikhel  Godawari, Lalitpur",Lalitpur,Land,27500000.0,7529.5,5.0,4.0,3652.300949598247,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '75', 'lakh']",land sale r crore 75 lakh,6
Land for Sale - Rs 36 Lakh Per Aana,"Hattiban  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,13499921.110299489,1283.43,5.0,4.0,10518.62673484295,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '36', 'lakh', 'per', 'aana']",land sale r 36 lakh per aana,7
Land for Sale - Rs 4 Crore,"Sanepa -2 Lalitpur Metropolis, Lalitpur",Lalitpur,Land,40000000.0,1005.35,5.0,4.0,39787.138807380514,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore']",land sale r crore,4
Land for Sale - Rs 44 Lakh Per Aana,"Imadol  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,19799935.719503287,1540.12,5.0,4.0,12856.09934258583,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '44', 'lakh', 'per', 'aana']",land sale r 44 lakh per aana,7
Land for Sale - Rs 48 Lakh Per Aana,"Hattiban  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,28800000.0,2053.5,5.0,4.0,14024.835646457268,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '48', 'lakh', 'per', 'aana']",land sale r 48 lakh per aana,7
Land for Sale - Rs 3 Crore 25 Lakh,"Teku  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,32500000.0,1197.88,5.0,4.0,27131.26523524894,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '25', 'lakh']",land sale r crore 25 lakh,6
Land for Sale - Rs 4 Crore 55 Lakh,"Imadol 6 Lalitpur Metropolis, Lalitpur",Lalitpur,Land,45500000.0,1369.0,5.0,4.0,33235.938641344044,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '55', 'lakh']",land sale r crore 55 lakh,6
Land for Sale - Rs 4 Crore 95 Lakh,"Imadol 6 Lalitpur Metropolis, Lalitpur",Lalitpur,Land,49500000.0,1540.12,5.0,4.0,32140.35269978963,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '95', 'lakh']",land sale r crore 95 lakh,6
Land for Sale - Rs 4 Crore 60 Lakh,"Imadol 6 Lalitpur Metropolis, Lalitpur",Lalitpur,Land,46000000.0,1369.0,5.0,4.0,33601.16873630387,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '60', 'lakh']",land sale r crore 60 lakh,6
Land for Sale - Rs 43 Lakh Per Aana,"Imadol  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,14512452.885317748,1155.09,5.0,4.0,12563.915266617969,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '43', 'lakh', 'per', 'aana']",land sale r 43 lakh per aana,7
Land for Sale - Rs 54 Lakh Per Aana,"Hattiban  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,27000000.0,1711.25,5.0,4.0,15777.940102264429,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '54', 'lakh', 'per', 'aana']",land sale r 54 lakh per aana,7
Land for Sale - Rs 21 Lakh Per Aana,"Imadol  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,6300000.0,1026.75,5.0,4.0,6135.8655953250545,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '21', 'lakh', 'per', 'aana']",land sale r 21 lakh per aana,7
Land for Sale - Rs 2 Crore 20 Lakh,"Lamatar  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,22000000.0,1026.75,5.0,4.0,21426.832237643048,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '20', 'lakh']",land sale r crore 20 lakh,6
Land for Sale - Rs 36 Lakh 50 Thousand Per Aana,"Sanagaun  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,10950000.0,1026.75,5.0,4.0,10664.718772826882,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '36', 'lakh', '50', 'thousand', 'per', 'aana']",land sale r 36 lakh 50 thousand per aana,9
Land for Sale - Rs 4 Crore 90 Lakh,"Hattigauda 8 Budhanilkantha, Kathmandu",Kathmandu,Land,49000000.0,1711.25,5.0,4.0,28634.039444850256,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '90', 'lakh']",land sale r crore 90 lakh,6
